2006,,Jakub Pawluk / Piotr Żółtowski,Michał Korneszczuk / Jakub Klimek,Dorota Dajkowska / Łukasz Stawski
2007,Sopot,Michał Korneszczuk / Krzysztof Krempeć,Jakub Pawluk / Michał Redmerski,Przemysław Zagórski / Piotr Juckiewicz
2008,Kamień Pomorski,Michał Korneszczuk / Krzysztof Krempeć,Jakub Pawluk / Michał Redmerski,Jarosław Grabowski / Michał Olko
2009,Gdynia,Jakub Pawluk / Michał Redmerski,Rafał Becker / Przemysław Zagórski,Jarosław Grabowski / Michał Olko
2010,Górki Zachodnie,Jakub Pawluk / Michał Redmerski,Bartosz Makała / Łukasz Skrzycki,Tymon Sadowski / Piotr Juckiewicz
2011,Gdynia,Jakub Pawluk / Michał Redmerski,Bartosz Makała / Łukasz Zakrzewski,Mirosław Majcher / Piotr Juckiewicz
2012,Kamień Pomorski,Jakub Pawluk / Michał Redmerski,Bartosz Makała / Łukasz Skrzycki,Antonina Żółtowska / Piotr Żółtowski
2013,Kamień Pomorski,Jakub Pawluk / Marcin Józefowski,Bartosz Makała / Łukasz Skrzycki,Przemysław Zagórski / Piotr Juckiewicz
2014,Sopot,Bartosz Makała / Łukasz Skrzycki,Przemysław Zagórski / Piotr Juckiewicz,Jarosław Grabowski / Michał Olko
2015,Puck,Tymon Sadowski / Łukasz Skrzycki,Szymon Wierzbicki / Kacper Kaczmarek,Jakub Pawluk / Marcin Józefowski
2016,Krynica Morska,Karol Milewski / Bartosz Milewski,Jakub Pawluk / Marcin Józefowski,Agnieszka Skrzypulec / Adam Kominek
2017,Gdynia,Mateusz Jura / Bartosz Chroł,Przemysław Zagórski / Michał Olko,Dominik Ostrowski / Jakub Folczak
2018,Świnoujście,Ewa Bartosiewicz / Dominik Buksak,Jakub Pawluk / Marcin Józefowski,Szymon Wierzbicki / Marek Kaczmarek
2019,Dziwnów,Jakub Pawluk / Marcin Józefowski,Mateusz Jura / Bartosz Chroł,Karol Milewski / Jan Siekierzyński
2020,Ustka,Jakub Pawluk / Marcin Józefowski,Mateusz Jura / Bartosz Chroł,Karol Milewski / Bartosz Milewski
2021,Ustka,Jakub Pawluk / Marcin Józefowski,Mateusz Jura / Bartosz Chroł,Karol Milewski / Bartosz Milewski
2022,Ustka,Jan Sibilski / Andrzej Borowiak,Karol Milewski / Bartosz Milewski,Sławomir Plichta / Bartosz Chroł
