2021 CENTRAL REGIONAL CHAMPIONSHIP,,,,,,,,,
"Elk Lake, Michigan",,,,,,,,,
"Results are provisional as of 21:26 on March 6, 2021",,,,,,,,,
Gold Fleet,,,,,,,,,
"Sailed: 4, Discards: 0, To count: 4, Entries: 21, Scoring system: DN Scoring System",,,,,,,,,
Rank,HelmName,SailNo,R1,R2,R3,R4,R5,Total,Nett
1st,ERIC SMITH,US 2500,1,3,3,1,,8,8
2nd,RON SHERRY,US 44,2,2,2,3,,9,9
3rd,GRIFFEN SHERRY,US 4,4,4,1,2,,11,11
4th,JOHN HARPER,US 60,3,1,4,5,,13,13
5th,KENT BAKER,US 5219,15,6,5,4,,30,30
6th,ANDREW ALLEN,US 5451,7,8,8,7,,30,30
7th,JIM GROGAN,US 3,10,9,6,6,,31,31
8th,RICHARD WOLLAM,US 4882,6,12,7,10,,35,35
9th,BILL CUTTING,US 5430,13,5,10,9,,37,37
10th,MATT KOCH,US 111,8,10,9,11,,38,38
11th,ROB HOLMAN,US 3705,5,7,15,15,,42,42
12th,GEORGE REIS,US 5053,12,11,13,16,,52,52
13th,JODY KJOLLER,US 5435,11,17,11,14,,53,53
14th,DAVID FROST,US 5358,16,18,14,8,,56,56
15th,CHAD COBERLY,US 1301,17,14,12,13,,56,56
16th,HARRY DEFER,US 99,9,13,16,19,,57,57
17th,DON JONES,US 610,14,20,22 DNF,12,,68,68
18th,PETER JOHANSON,US 5633,19,15,18,17,,69,69
19th,RICK LEMBERG SR,US 4155,18,16,19,18,,71,71
20th,RANDY ROGOSKI,US 4192,20,21,17,22 DNF,,80,80
21st,RICHARD PARKER,US 4738,21,19,20,22 DNF,,82,82
Silver Fleet,,,,,,,,,
"Sailed: 4, Discards: 0, To count: 4, Entries: 15, Scoring system: DN Scoring System",,,,,,,,,
Rank,HelmName,SailNo,R1,R2,R3,R4,R5,Total,Nett
1st,BRIAN PARKER,US 5048,1,1,1,1,,4,4
2nd,J WILLIAM COBERLY,US 472,3,2,3,2,,10,10
3rd,THOMAS DAWSON,US 5470,2,3,2,3,,10,10
4th,BOB CUTTING,US 5930,5,7,5,4,,21,21
5th,ROBERT GRAY,US 65,8,6,4,5,,23,23
6th,PETE JOHNS,US 2360,6,5,6,6,,23,23
7th,RHEA NICHOLAS,US 4783,9,8,7,7,,31,31
8th,HUGH STEVENS,US 5127,7,9,9,8,,33,33
9th,COOPER FROST,US 5404,10,10,8,9,,37,37
10th,STAN JONES,US 4974,4,4,16 DNF,16 DNF,,40,40
11th,SAM HAZEL,US 56,11,11,11,10,,43,43
12th,BOB RIPLY,US 4856,12,12,10,12,,46,46
13th,AUSTIN GRAEF,US 5,16 DNF,16 DNF,12,11,,55,55
14th,LEE GREENING,US 4353,13,16 DNF,16 DNF,16 DNF,,61,61
15th,GAIL TURLUCK,US 5043,16 DNF,16 DNF,16 DNF,16 DNF,,64,64
