Rank,Nat,Sail no,Helm name,Fleet,W,YoB,Group,R1,R2,R3,R4,R5,R6,Total,Nett
1st,POL,P114,Michal Burczynski,GOLD,,1981,,1,2,"(8,0)",4,1,1,17,9
2nd,POL,P155,Lukasz Zakrzewski,GOLD,,1984,,5,3,3,"(11,0)",6,6,34,23
3rd,EST,C53,Joonas Kiisler,GOLD,,1989,,2,4,7,5,"(8,0)",8,34,26
4th,EST,C96,Hardi Laurits,GOLD,,1988,,3,8,2,"(12,0)",4,9,38,26
5th,POL,P55,Tomasz Zakrzewski,GOLD,,1975,,10,5,1,2,9,"(13,0)",40,27
6th,POL,P431,Jarek Radzki,GOLD,,1969,,4,6,4,"(19,0)",14,2,49,30
7th,POL,P36,Karol Jablonski,GOLD,,1962,,7,7,"(10,0)",9,5,4,42,32
8th,EST,C20,Rasmus Maalinn,GOLD,,1999,,8,13,5,3,3,"(14,0)",46,32
9th,POL,P31,Robert Graczyk,GOLD,,1971,,11,9,"(47,0)",1,2,11,81,34
10th,EST,C45,Mihkel Kosk,GOLD,,1984,,6,1,9,8,10,"(28,0)",62,34
11th,EST,C36,Argo Vooremaa,GOLD,,1985,,9,12,11,6,17,"(21,0)",76,55
12th,HUN,M53,Peter Hamrak,GOLD,,1968,,17,15,16,"(52.0 DNC)",11,17,128,76
13th,USA,US44,Ron Sherry,GOLD,,1962,,12,10,30,"(32,0)",13,23,120,88
14th,POL,P254,Rafal Sielicki,GOLD,,1977,,"(42,0)",22,21,17,24,5,131,89
15th,POL,P311,Wojciech Worek,GOLD,,1978,,13,17,22,22,"(23,0)",16,113,90
16th,SWE,S1,David Croner,GOLD,,1979,,16,11,24,"(37,0)",26,18,132,95
17th,USA,US5166,Christopher Berger,GOLD,,1967,,21,14,25,14,21,"(27,0)",122,95
18th,GER,G719,Andi Lachenschmid,GOLD,,1991,,25,28,6,"(34,0)",18,19,130,96
19th,FIN,L601,John Winquist,GOLD,,1962,,18,40,"(52.0 DNC)",7,25,7,149,97
20th,LAT,O2,Artis Berzins,GOLD,,1985,,"(37,0)",23,35,15,12,15,137,100
21st,POL,P107,Marek Stefaniuk,GOLD,,1967,,14,18,14,"(33,0)",31,25,135,102
Rank,Nat,Sail no,Helm name,Fleet,W,YoB,Group,R1,R2,R3,R4,R5,R6,Total,Nett
22nd,POL,P13,Kardas Darek,GOLD,,1968,,20,21,23,23,20,"(34,0)",141,107
23rd,DEN,D112,Thomas Ebler,GOLD,,1969,,26,19,29,20,15,"(31,0)",140,109
24th,GER,G890,Holger Petzke,GOLD,,1958,,15,24,17,27,27,"(38,0)",148,110
25th,FIN,L139,Ossi Paija,GOLD,,1978,,22,33,26,"(39,0)",22,10,152,113
26th,POL,P74,Jerzy Artur Taber,GOLD,,1966,,32,34,18,16,16,"(35,0)",151,116
27th,POL,P338,Maciej Zarnowski,GOLD,,1977,,39,16,12,"(52.0 DNC)",38,12,169,117
28th,FIN,L103,Timo Lehmuskallio,GOLD,,1967,,28,"(35,0)",27,13,29,22,154,119
29th,SWE,S8,Fredrik Lönegren,GOLD,,1964,,23,25,15,24,33,"(41,0)",161,120
30th,POL,P243,Adam Szczesny,GOLD,,1979,,"(52.0 DSQ)",20,52.0 DNF,25,7,24,180,128
31st,POL,P80,Ryszard Mrozek,GOLD,,1965,,"(45,0)",27,31,31,42,3,179,134
32nd,POL,P104,Wojtek Baranowski,GOLD,,1969,,30,26,34,"(36,0)",19,30,175,139
33rd,POL,P200,Roman Morgas,GOLD,,1968,,19,38,20,30,"(40,0)",32,179,139
34th,GER,G936,Jost Kolb,GOLD,,1964,,27,29,19,29,"(43,0)",40,187,144
35th,GER,G390,Anja Fiedler,GOLD,,1972,,36,31,"(37,0)",18,28,37,187,150
36th,GBR,K13,David Howlett,GOLD,,1951,,29,41,33,21,30,"(52.0 DNC)",206,154
37th,SWE,S887,Gustav Linden,GOLD,,2000,JUNIOR,34,32,13,38,"(39,0)",39,195,156
38th,SWE,S878,Tomasz Flisiak,GOLD,,1971,,24,36,36,28,35,"(43,0)",202,159
39th,FIN,L37,Timoleon Caravitis,GOLD,,1958,,31,"(49,0)",28,40,32,33,213,164
40th,POL,P65,Marek Bernat,GOLD,,1962,,35,"(39,0)",32,35,34,36,211,172
